2003,New York Yankees,34705
2003,Chicago Cubs,33406
2003,San Francisco Giants,33398
2003,Boston Red Sox,30544
2003,Arizona Diamondbacks,29922
2003,San Diego Padres,29418
2003,St. Louis Cardinals,29120
2003,Texas Rangers,28933
2003,Los Angeles Dodgers,28680
2003,Atlanta Braves,28309
2003,New York Mets,28286
2003,Pittsburgh Pirates,28219
2003,Colorado Rockies,27869
2003,Baltimore Orioles,27645
2003,Houston Astros,27575
2003,Milwaukee Brewers,27566
2003,Seattle Mariners,27472
2003,Los Angeles Angels,27140
2003,Tampa Bay Rays,27032
2003,Philadelphia Phillies,27021
2003,Chicago White Sox,27006
2003,Washington Nationals,26969
2003,Oakland Athletics,26889
2003,Cincinnati Reds,26778
2003,Toronto Blue Jays,26174
2003,Kansas City Royals,26148
2003,Florida Marlins,25675
2003,Minnesota Twins,25029
2003,Cleveland Indians,24487
2003,Detroit Tigers,24205
2004,New York Yankees,40847
2004,Chicago Cubs,37100
2004,San Francisco Giants,36190
2004,Boston Red Sox,36002
2004,San Diego Padres,32349
2004,Colorado Rockies,31957
2004,Oakland Athletics,31914
2004,Los Angeles Dodgers,31839
2004,Cincinnati Reds,30977
2004,Arizona Diamondbacks,30948
2004,Houston Astros,30762
2004,St. Louis Cardinals,30670
2004,New York Mets,30457
2004,Pittsburgh Pirates,30339
2004,Atlanta Braves,30000
2004,Milwaukee Brewers,29747
2004,Los Angeles Angels,29524
2004,Baltimore Orioles,29492
2004,Washington Nationals,29306
2004,Texas Rangers,29271
2004,Florida Marlins,29075
2004,Tampa Bay Rays,28277
2004,Seattle Mariners,28261
2004,Cleveland Indians,27378
2004,Detroit Tigers,27359
2004,Toronto Blue Jays,27272
2004,Philadelphia Phillies,26941
2004,Minnesota Twins,26803
2004,Kansas City Royals,25665
2004,Chicago White Sox,25304
2005,Boston Red Sox,37709
2005,New York Yankees,37007
2005,Chicago Cubs,36464
2005,New York Mets,35016
2005,Pittsburgh Pirates,33014
2005,Florida Marlins,32853
2005,Atlanta Braves,32757
2005,Los Angeles Dodgers,32569
2005,Cincinnati Reds,32459
2005,Arizona Diamondbacks,32323
2005,Washington Nationals,32052
2005,San Francisco Giants,31703
2005,San Diego Padres,31642
2005,Colorado Rockies,31369
2005,Los Angeles Angels,30782
2005,Houston Astros,30648
2005,St. Louis Cardinals,30612
2005,Baltimore Orioles,30412
2005,Toronto Blue Jays,29900
2005,Oakland Athletics,29882
2005,Milwaukee Brewers,29340
2005,Philadelphia Phillies,29284
2005,Tampa Bay Rays,29233
2005,Chicago White Sox,28170
2005,Seattle Mariners,27603
2005,Cleveland Indians,27432
2005,Minnesota Twins,27375
2005,Texas Rangers,27127
2005,Detroit Tigers,26351
2005,Kansas City Royals,26046
2006,New York Yankees,38028
2006,Boston Red Sox,36099
2006,Cincinnati Reds,33914
2006,Chicago Cubs,33817
2006,St. Louis Cardinals,33810
2006,New York Mets,33642
2006,San Francisco Giants,33269
2006,San Diego Padres,32616
2006,Colorado Rockies,32414
2006,Los Angeles Dodgers,32330
2006,Oakland Athletics,32191
2006,Pittsburgh Pirates,31851
2006,Houston Astros,31489
2006,Arizona Diamondbacks,31437
2006,Florida Marlins,31347
2006,Kansas City Royals,31341
2006,Baltimore Orioles,31324
2006,Philadelphia Phillies,30596
2006,Atlanta Braves,30538
2006,Chicago White Sox,30290
2006,Milwaukee Brewers,30232
2006,Cleveland Indians,30221
2006,Washington Nationals,29679
2006,Texas Rangers,29613
2006,Detroit Tigers,29188
2006,Seattle Mariners,28646
2006,Tampa Bay Rays,28627
2006,Toronto Blue Jays,28532
2006,Minnesota Twins,27997
2006,Los Angeles Angels,27685
2007,Boston Red Sox,38642
2007,New York Yankees,37227
2007,Chicago Cubs,36053
2007,New York Mets,35888
2007,San Francisco Giants,35580
2007,Pittsburgh Pirates,34880
2007,Arizona Diamondbacks,34387
2007,San Diego Padres,34189
2007,Cincinnati Reds,33896
